date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-07-01 00:00:00,19.9,17.6,23.9,2.3,,,,,,
2015-07-02 00:00:00,20.7,16.2,25.8,0,,,,,,
2015-07-03 00:00:00,21.2,16,25.8,0,,,,,,
2015-07-04 00:00:00,23.2,19.2,28.5,0,,,,,,
2015-07-05 00:00:00,21.8,17.8,26.9,0,,,,,,
2015-07-06 00:00:00,22.8,16.9,30.2,0,,,,,,
2015-07-07 00:00:00,23.1,18.4,29.1,0,,,,,,
2015-07-08 00:00:00,22.1,17.6,28.2,0,,,,,,
2015-07-09 00:00:00,21.4,17.2,26.9,0,,,,,,
2015-07-10 00:00:00,20.8,17.8,25.1,0,,,,,,
2015-07-11 00:00:00,21.7,17.8,28,0,,,,,,
2015-07-12 00:00:00,21.4,17.2,26.2,0,,,,,,
2015-07-13 00:00:00,22.6,17.2,28.5,0,,,,,,
2015-07-14 00:00:00,23,17.6,30.6,0,,,,,,
2015-07-15 00:00:00,22.9,18.1,31.6,0,,,,,,
2015-07-16 00:00:00,24.1,18.2,30.8,0,,,,,,
2015-07-17 00:00:00,23.7,20.1,29.5,0,,,,,,
2015-07-18 00:00:00,23.4,19.2,28,0,,,,,,
2015-07-19 00:00:00,23.2,19.8,28.3,0,,,,,,
2015-07-20 00:00:00,25.8,21.2,29.8,0,,,,,,
2015-07-21 00:00:00,24.6,20.6,29.2,0,,,,,,
2015-07-22 00:00:00,22.4,20.1,29,0,,,,,,
2015-07-23 00:00:00,24,19.4,29.3,0,,,,,,
2015-07-24 00:00:00,22.4,18.8,27.1,0,,,,,,
2015-07-25 00:00:00,21.3,16.9,27.3,0,,,,,,
2015-07-26 00:00:00,24.2,18.2,29.9,0,,,,,,
2015-07-27 00:00:00,23.2,19.7,28,0,,,,,,
2015-07-28 00:00:00,23.3,18.8,28.5,0,,,,,,
2015-07-29 00:00:00,24.5,20.1,28.9,0,,,,,,
2015-07-30 00:00:00,24.1,21.8,28.6,0,,,,,,
2015-07-31 00:00:00,22.5,18.5,28.2,0,,,,,,
2015-08-01 00:00:00,23.2,18.2,29.6,0,,,,,,
2015-08-02 00:00:00,24.4,17.6,31.5,0,,,,,,
2015-08-03 00:00:00,25.5,19.5,30,0,,,,,,
2015-08-04 00:00:00,22.6,17.5,27.9,0,,,,,,
2015-08-05 00:00:00,22.2,16,28.5,0,,,,,,
2015-08-06 00:00:00,23.9,19.6,30.6,0,,,,,,
2015-08-07 00:00:00,21.2,18.7,25.6,0,,,,,,
2015-08-08 00:00:00,22.7,17,28.7,0,,,,,,
2015-08-09 00:00:00,26.9,19.4,34.6,0,,,,,,
2015-08-10 00:00:00,26.1,20.3,34.3,0,,,,,,
2015-08-11 00:00:00,22,18.7,27.8,0,,,,,,
2015-08-12 00:00:00,21.4,18.8,25,0,,,,,,
2015-08-13 00:00:00,20.2,17.8,24.3,0,,,,,,
2015-08-14 00:00:00,19.7,15.8,24.2,0,,,,,,
2015-08-15 00:00:00,21.4,17.6,26.8,0,,,,,,
2015-08-16 00:00:00,21.3,18.7,26.4,0,,,,,,
2015-08-17 00:00:00,20.9,18.9,25.5,0,,,,,,
2015-08-18 00:00:00,21.6,18.2,26.5,0,,,,,,
2015-08-19 00:00:00,23.4,17.4,30.3,0,,,,,,
2015-08-20 00:00:00,26.2,19.4,33.2,0,,,,,,
2015-08-21 00:00:00,24.4,20.8,31.2,0,,,,,,
2015-08-22 00:00:00,21.7,19.5,26.9,0,,,,,,
2015-08-23 00:00:00,20.1,17.1,24.5,1.4,,,,,,
2015-08-24 00:00:00,20,17,24.2,0.1,,,,,,
2015-08-25 00:00:00,21.2,16.2,26.8,0,,,,,,
2015-08-26 00:00:00,21.9,18.2,26.5,0,,,,,,
2015-08-27 00:00:00,21.9,18.9,26.6,0,,,,,,
2015-08-28 00:00:00,24.2,20.8,28.7,0,,,,,,
2015-08-29 00:00:00,25.1,13,32,0,,,,,,
2015-08-30 00:00:00,23.9,20.6,29.5,0,,,,,,
2015-08-31 00:00:00,22.8,20.6,27.4,0,,,,,,
2015-09-01 00:00:00,21.1,19,25.2,0,,,,,,
2015-09-02 00:00:00,19.7,17.2,24.2,0,,,,,,
2015-09-03 00:00:00,19.1,17.1,23.5,0,,,,,,
2015-09-04 00:00:00,18.6,16,22.8,0,,,,,,
2015-09-05 00:00:00,18.8,15.8,22.5,0,,,,,,
2015-09-06 00:00:00,21.4,15.2,28.5,0,,,,,,
2015-09-07 00:00:00,23.1,17.7,28.3,0,,,,,,
2015-09-08 00:00:00,23.3,19.4,28.9,0,,,,,,
2015-09-09 00:00:00,20.8,16.5,25.7,0,,,,,,
2015-09-10 00:00:00,19.9,16.4,23.9,0,,,,,,
2015-09-11 00:00:00,20,15.4,25.2,0,,,,,,
2015-09-12 00:00:00,20,17.9,25,0,,,,,,
2015-09-13 00:00:00,18.8,16.1,24.2,0.6,,,,,,
2015-09-14 00:00:00,18.7,16.4,22.5,0,,,,,,
2015-09-15 00:00:00,19.2,15.9,22.1,0.6,,,,,,
2015-09-16 00:00:00,19.6,16,23.6,2.8,,,,,,
2015-09-17 00:00:00,18.1,14.3,23.4,0,,,,,,
2015-09-18 00:00:00,19.2,14.8,24.5,0,,,,,,
2015-09-19 00:00:00,22.4,16.5,28.6,0,,,,,,
2015-09-20 00:00:00,23.3,17.7,30,0,,,,,,
2015-09-21 00:00:00,22.3,17,29.7,0,,,,,,
2015-09-22 00:00:00,19.8,16.3,22.5,0,,,,,,
2015-09-23 00:00:00,19.7,15.8,25.4,0,,,,,,
2015-09-24 00:00:00,20.9,15.9,26,0,,,,,,
2015-09-25 00:00:00,19.8,15.8,25,0,,,,,,
2015-09-26 00:00:00,19.9,15.8,26.2,0,,,,,,
2015-09-27 00:00:00,21.2,15.6,27.6,0,,,,,,
2015-09-28 00:00:00,21.2,16.3,27,0,,,,,,
2015-09-29 00:00:00,21.1,18.2,25,0.3,,,,,,
2015-09-30 00:00:00,20.5,16.8,26.9,0,,,,,,
2015-10-01 00:00:00,21.2,16.8,27,0,,,,,,
2015-10-02 00:00:00,20.6,17.3,26.1,0,,,,,,
2015-10-03 00:00:00,19.8,16.6,23.5,0,,,,,,
2015-10-04 00:00:00,21.7,18.6,24.9,3.5,,,,,,
2015-10-05 00:00:00,20.5,18.5,24.3,13.8,,,,,,
2015-10-06 00:00:00,18.6,16.8,22,0.3,,,,,,
2015-10-07 00:00:00,17.6,15.8,21.1,0,,,,,,
2015-10-08 00:00:00,17.7,14.6,23.3,0,,,,,,
2015-10-09 00:00:00,16.7,13.7,21.1,0,,,,,,
2015-10-10 00:00:00,17.5,15.8,19.2,12.7,,,,,,
2015-10-11 00:00:00,18.7,16.4,20.7,3.5,,,,,,
2015-10-12 00:00:00,18.4,17.5,20.4,10.8,,,,,,
2015-10-13 00:00:00,21.4,17.5,23,1.4,,,,,,
2015-10-14 00:00:00,19.5,16.3,23,0,,,,,,
2015-10-15 00:00:00,19,16,24.2,0,,,,,,
2015-10-16 00:00:00,18.9,16.1,22.1,0.4,,,,,,
2015-10-17 00:00:00,18.6,17.6,20,9.2,,,,,,
2015-10-18 00:00:00,17.6,16.5,20.5,17.9,,,,,,
2015-10-19 00:00:00,17.4,15.1,20,0.8,,,,,,
2015-10-20 00:00:00,20.1,15.5,24.1,2.6,,,,,,
2015-10-21 00:00:00,18.8,15.8,22.3,0,,,,,,
