country_code - currency
PRT: 포르투갈 — 유로 (EUR)
FRA: 프랑스 — 유로 (EUR)
ESP: 스페인 — 유로 (EUR)
DEU: 독일 — 유로 (EUR)
ITA: 이탈리아 — 유로 (EUR)
IRL: 아일랜드 — 유로 (EUR)
BEL: 벨기에 — 유로 (EUR)
NLD: 네덜란드 — 유로 (EUR)
AUT: 오스트리아 — 유로 (EUR)
FIN: 핀란드 — 유로 (EUR)
LUX: 룩셈부르크 — 유로 (EUR)
GRC: 그리스 — 유로 (EUR)
CN: 중국 — 위안 (CNY)
GBR: 영국 — 파운드 스털링 (GBP)
BRA: 브라질 — 헤알 (BRL)
USA: 미국 — 미국 달러 (USD)
CHE: 스위스 — 스위스 프랑 (CHF)
CHN: 중국 — 위안 (CNY)
SWE: 스웨덴 — 크로나 (SEK)
POL: 폴란드 — 즈워티 (PLN)
ISR: 이스라엘 — 신 셰켈 (ILS)
RUS: 러시아 — 루블 (RUB)
NOR: 노르웨이 — 크로네 (NOK)
ROU: 루마니아 — 레우 (RON)
DNK: 덴마크 — 크로네 (DKK)
AUS: 호주 — 호주 달러 (AUD)
AGO: 앙골라 — 콴자 (AOA)
MAR: 모로코 — 디르함 (MAD)
TUR: 튀르키예 — 리라 (TRY)
HUN: 헝가리 — 포린트 (HUF)
ARG: 아르헨티나 — 페소 (ARS)
JPN: 일본 — 엔 (JPY)
CZE: 체코 — 코루나 (CZK)
IND: 인도 — 루피 (INR)
KOR: 대한민국 — 원 (KRW)
DZA: 알제리 — 디나르 (DZD)
SRB: 세르비아 — 디나르 (RSD)
